productId,productName,milestone,status,statusLabel,label,date,nextStep,anticipated,source
ganlum,GanLum,Phase III (KALUMA),done,Complete,Complete,12 Nov 2025,—,—,Novartis / MMV press releases
ganlum,GanLum,SRA dossier submission,prog,In progress,In preparation,—,Submission,TBC,"Novartis announcement, Nov 2025"
ganlum,GanLum,WHO GDG engagement,idle,Not started,Not started,—,Pre-submission dialogue,TBC,
ganlum,GanLum,WHO prequalification,idle,Not started,Not started,—,—,TBC,
alaq,ALAQ,Dose-optimization of co-formulation,done,Complete,Complete,Published 2025,—,—,Clin Pharmacol Ther (2025)
alaq,ALAQ,Phase III programme (DeTACT),prog,In progress,In progress,Ongoing,Results,2026,MORU / DeTACT
alaq,ALAQ,SRA/WLA submission,idle,Not started,Not started,—,Dossier preparation,~2027,
alaq,ALAQ,WHO prequalification,idle,Not started,Not started,—,"EOI listing, then dossier",~2027,"WHO PADO malaria, Jun 2025"
pyramax,ASPY,SRA approval (EMA Art. 58),done,Complete,Complete,2012,—,—,EMA register
pyramax,ASPY,WHO prequalification,done,Complete,Complete,2012–2016,—,—,WHO PQ list
pyramax,ASPY,WHO guideline strong recommendation,done,Complete,Complete,2022,—,—,WHO Guidelines for malaria
pyramax,ASPY,Label update — pregnancy,done,Complete,Complete,31 Jul 2025,—,—,EMA / MMV
pyramax,ASPY,Country registrations,prog,In progress,25+ countries,Rolling,Asia submissions,TBC,MMV
pyramax,ASPY,National guideline inclusion,late,Delayed,Limited — TBC,—,Committee reviews,TBC,LAUNCH assessment (draft)
pyramax,ASPY,Procurement scale-up,prog,In progress,Volumes TBC,—,Global Fund / PMI data pull,2026,
dhappq,DHA–PPQ,"SRA approval (EMA, Eurartesim)",done,Complete,Complete,2011,—,—,EMA register
dhappq,DHA–PPQ,WHO guideline recommendation,done,Complete,Complete,2015,—,—,WHO Guidelines for malaria
dhappq,DHA–PPQ,WHO prequalification (Eurartesim),done,Complete,Complete,9 Oct 2015,—,—,WHO PQ list
dhappq,DHA–PPQ,WHO PQ requalification,done,Complete,Complete,20 Jan 2025,—,—,WHO PQ list
dhappq,DHA–PPQ,National guideline inclusion,prog,In progress,Counts TBC,—,MFT strategy decisions,TBC,LAUNCH assessment (draft)
dhappq,DHA–PPQ,Procurement scale-up,late,Delayed,Volumes TBC,—,Global Fund PQR data pull,2026,LAUNCH assessment (draft)
