productId,iso3,certificateNo,nationalId,brandName,genericName,activeIngredient,form,strength,manufacturer,manufacturerCountry,registrant,issueDate,expiryDate,status,sourceUrl,retrievedDate
dhappq,TZA,"TAN 07,242 P01B BEI",R07AA01/0013,Duo-Cotecxin,Dihydroartemisinin + Piperaquine Phosphate,"Alcohol  mg,Dextrin  mg,Dihydroartemisinin 40 mg,Hypromellose  mg,Magnesium Stearate  mg,Maize starch  mg,Opadry 85G60990  mg,Piperaquine Phosphate 320 mg,Purified Water  mg,Sodium Starch Glycolate Type A  mg",Tablets,,"KBN-Zhejiang Pharmaceutical Co., Ltd.",CHINA,HOLLEY PHARM TANZANIA LTD,2022-08-14,2027-08-13,Registered/Compliant,https://imis2.tmda.go.tz/portal/#/public/registered-medicines,2026-08-23
dhappq,TZA,TAN 24 HM 0298,,Duo-Cotecxin,Dihydroartemisinin + Piperaquine Phosphate,"Dextrin 17.3 mg/tablet,Dihydroartemisinin 40 mg,Ethanol* 82.60 mg/tablet,Hypromellose 3.70 mg/tablet,Magnesium Stearate 2.55 mg/tablet,Maize Starch, 69.00 mg/tablet,Piperaquine Phosphate 320 mg,Purified water.. 69.8 mg/tablet,Sodium starch glycolate  (Type-A) 25.4 mg/tablet",Tablets,,"KBN-ZHEJIANG PHARMACEUTICALS CO.,LTD",CHINA,"Beijing Holley Cotec Pharmaceuticals Co., Ltd",2024-08-26,2029-08-25,Registered/Compliant,https://imis2.tmda.go.tz/portal/#/public/registered-medicines,2026-08-23
dhappq,TZA,TZ 14 H 0310,P01BE02/0021,D-ARTEPP,Dihydroartemisinin and Piperaquine,"Dihydroartemisinin 40 mg,Piperaquine Phosphate 320 mg",Tablets,,"GUILIN PHARMACEUTICAL CO., LTD",CHINA,"Shanghai Fosun Pharmaceutical Development Co., Ltd",2024-11-29,2029-11-28,Registered/Compliant,https://imis2.tmda.go.tz/portal/#/public/registered-medicines,2026-08-23
dhappq,TZA,TZ 16 H 0316,P01B/0234,D - Artepp Dispersible,Dihydroartemisinin + Piperaquine,"Dihydroartemisinin 40 mg,Piperaquine Phosphate 320 mg",Tablets,,"GUILIN PHARMACEUTICAL CO., LTD",CHINA,"Shanghai Fosun Pharmaceutical Development Co., Ltd",2021-10-02,2026-10-01,Registered/Compliant,https://imis2.tmda.go.tz/portal/#/public/registered-medicines,2026-08-23
dhappq,TZA,TZ 16 H 0343,P01B/0235,D - Artepp Dispersible,Dihydroartemisinin + Piperaquine,"Dihydroartemisinin 20 mg,Piperaquine Phosphate 160 mg","Tablet, Dispersible",,"GUILIN PHARMACEUTICAL CO., LTD",CHINA,"Shanghai Fosun Pharmaceutical Development Co., Ltd",2021-10-02,2026-10-01,Registered/Compliant,https://imis2.tmda.go.tz/portal/#/public/registered-medicines,2026-08-23
dhappq,TZA,TZ 17 H 0252,P01BE02/0024,D - Artepp,Dihydroartemisinin and Piperaquine,"Dihydroartemisinin 80 mg,Piperaquine Phosphate 640 mg","Tablet, Film-coated ",,"GUILIN PHARMACEUTICAL CO., LTD",CHINA,"Shanghai Fosun Pharmaceutical Development Co., Ltd",2022-11-07,2027-11-06,Registered/Compliant,https://imis2.tmda.go.tz/portal/#/public/registered-medicines,2026-08-23
dhappq,TZA,TZ 18 H 0201-PRV,P01B/0220,D-ARTEPP,Dihydroartemisinin + Piperaquine,"Dihydroartemisinin 60 mg,Piperaquine Phosphate 480 mg",Tablets,,"GUILIN PHARMACEUTICAL CO., LTD",CHINA,"Shanghai Fosun Pharmaceutical Development Co., Ltd",2023-08-15,2028-08-14,Registered/Compliant,https://imis2.tmda.go.tz/portal/#/public/registered-medicines,2026-08-23
dhappq,TZA,TZ 18 H 0202,P01BE02/0025,D-ARTEPP Dispersible,Dihydroartemisinin + Piperaquine,"Dihydroartemisinin 30 mg,Piperaquine 240 mg",Tablets,,"GUILIN PHARMACEUTICAL CO., LTD",CHINA,"Shanghai Fosun Pharmaceutical Development Co., Ltd",2023-08-15,2028-08-14,Registered/Compliant,https://imis2.tmda.go.tz/portal/#/public/registered-medicines,2026-08-23
dhappq,TZA,TZ10H114,P01B/0228,Duo-Cotecxin,Dihydroartemisinin + Piperaquine,"Dihydroartemisinin 20 mg,Piperaquine Phosphate 160 mg,Starch  mg",Tablets,Dihydroartemisinin (DHA) 20 mg + Piperaquine Phosphate (PQP) 160 mg,"KBN-Zhejiang Pharmaceutical Co., Ltd",CHINA,"Beijing Holley Cotec Pharmaceuticals Co., Ltd",2025-11-03,2030-11-02,Registered/Compliant,https://imis2.tmda.go.tz/portal/#/public/registered-medicines,2026-08-23
dhappq,TZA,TZ13H090,P01B/0182,Ridmal,Dihydroartemisinin + Piperaquine,"Croscarmellose Sodium  mg/sachet,Dihydroartemisinin 40 mg,Microcrystalline cellulose  mg/sachet,Piperaquine Phosphate 320 mg,Povidone (K-30)  mg/sachet,instacoat sol blue  gm/ml",Tablets,,Ajanta Pharma Limited,INDIA,Ajanta Pharma Limited,2023-06-30,2028-06-29,Registered/Compliant,https://imis2.tmda.go.tz/portal/#/public/registered-medicines,2026-08-23
pyramax,TZA,TZ 17 H 0055,P01BF06/0010,Pyramax,Artesunate and pyronaridine,"Artesunate 20 mg,Pyronaridine Tetraphosphate 60 mg",Granules for Oral suspension ,,Shin Poong Pharmaceutical Company Limited,REPUBLIC OF  KOREA,Shin Poong Pharmaceutical Company Limited,2022-03-08,2027-03-07,Registered/Compliant,https://imis2.tmda.go.tz/portal/#/public/registered-medicines,2026-08-23
pyramax,TZA,TZ 17 H 0056,P01BF06/0009,Pyramax,Artesunate and pyronaridine,"Artesunate 60 mg,Pyronaridine Tetraphosphate 180 mg",Tablets,,Shin Poong Pharmaceutical Company Limited,REPUBLIC OF  KOREA,Shin Poong Pharmaceutical Company Limited,2022-03-08,2027-03-07,Registered/Compliant,https://imis2.tmda.go.tz/portal/#/public/registered-medicines,2026-08-23
