date,product,change
2026-08-23,DHA–PPQ,WHO guideline recommendation year corrected to 2010 (second-edition treatment guidelines; reaffirmed 2015) — previously shown as 2015.
2026-08-23,ALAQ,Co-formulated pivotal Phase III renamed to FD-TACT (successor to the DeTACT programme); unverified 'taste-masked' wording replaced with the sourced 'child-friendly dispersible'.
2026-08-23,Spatial emanators,"Status refreshed: WHO policy recommendation for spatial repellents (13 Aug 2025), WHO PQ of Guardian and Mosquito Shield, and the Global Fund–US rollout partnership (13 May 2026) recorded — no longer pending funder approval."
2026-08-23,GanLum,Use-case wording aligned with the sourced Novartis claim (first major innovation in malaria treatment since ACTs were introduced 25+ years ago).
2026-08-15,All,Added MMV-style pipeline poster view (pipeline.html) placing each product in its development phase.
2026-08-15,All,"Added country access map (illustrative until verified), cross-product pathway timing chart, embeddable product widget, RSS update feed and automatic data-history snapshots."
2026-08-14,ASPY,Renamed from Pyramax to ASPY (pyronaridine–artesunate); trade name retained in the subtitle.
2026-08-14,All,"Added glossary tooltips, CSV download, print view and pathway timing (time between gates) for marketed products."
2026-08-14,GanLum,"Phase III (KALUMA) marked complete — primary endpoint met, announced 12 Nov 2025; regulatory submission preparation now in progress."
2026-08-14,ASPY,EMA Article 58 date corrected to 2012; July 2025 pregnancy label update added to milestones.
2026-08-14,DHA–PPQ,Eurartesim WHO PQ requalification (Jan 2025) recorded; unknown counts set to TBC pending verification.
2026-08-14,All,Dashboard moved from illustrative placeholders to draft public-source data. Prices and volumes shown as TBC until confirmed.
